Attribute Name,Definitions,Product Type,Example Values,Min Characters,Max Characters,Min Number of Values,Recommended Number of Values
Accessories Included,"Listing of any supplementary items that come with the product. Important information for consumers because accessories typically provide additional convenience, utility, attractiveness or safety to or for a product.",Cell Phones,AC Adapter;Mounting Bracket,1,4000,0,n/a
Additional Image URL,"Secondary images of the item. File Format: JPEG (.jpg). Recommended Pixel Dimensions: 2200px x 2200px. Minimum Pixel Dimensions for Zoom 1500px x 1500px. Resolution: 300 ppi. Maximum file size: 5MB. Aspect Ratio: 1:1 (Square). Recommended File Naming: GTIN-14 digit
Image URLs should end in an image file type (.jpg) to follow best practices. They must link to a public image file that loads as an image",Cell Phones,n/a,1,2500,4,9
Assembled Product Weight - Measure,The weight of the fully assembled product.,Cell Phones,20 lb;40 lb,1,16,0,n/a
Assembled Product Weight - Unit,The weight of the fully assembled product.,Cell Phones,20 lb;40 lb,1,16,0,n/a
Battery Capacity - Measure,"The measurement of the current a battery can deliver over time, generally expressed in ampere-hours (Ah or mAh) however watt hours (Wh) is often used for mobile computing devices and provides a calculated energy capacity figure using the voltage and current potential.",Cell Phones,4500 mAh;3400 mAh,1,17,0,n/a
Battery Capacity - Unit,"The measurement of the current a battery can deliver over time, generally expressed in ampere-hours (Ah or mAh) however watt hours (Wh) is often used for mobile computing devices and provides a calculated energy capacity figure using the voltage and current potential.",Cell Phones,4500 mAh;3400 mAh,1,17,0,n/a
Biometric Security Features,Describes the type of biometric security features included in a product. Fingerprint Scan: Scans a fingerprint and uses as a unique identifier as an alternative to entering a password.;;Face Recognition: Scans facial features and uses as a unique identifier as an alternative to entering a password.;;Iris Scan: Scans an iris and uses as a unique identifier as an alternative to entering a password.;;Handprint Scan: Scans a handprint and uses as a unique identifier as an alternative to entering a password.,Cell Phones,n/a,n/a,0,0,n/a
California Prop 65 Warning Text,This is a particular statement legally required by the State of California for certain products to warn consumers about potential health dangers. See the portions of the California Health and Safety Code related to Proposition 65 to see what products require labels and to verify the text of your warning label. If no Prop 65 warning please leave value blank for this attribute.,Cell Phones,"For Example: This product can expose you to chemicals including [name of one or more chemicals], which is [are] known to the State of California to cause [list associated harm(s) e.g. cancer, birth defects or other reproductive harm, etc].",1,5000,0,n/a
Cell Phone Service Provider,The company responsible for the provision of the device's cellular service.,Cell Phones,AT&T;AT&T GoPhone;Black Wireless;Boost Mobile;Cricket Wireless;H2O Wireless;MetroPCS;Net10;Page Plus Cellular;PlatinumTel;Red Pocket Mobile;Republic Wireless;Simple Mobile;Sprint;Straight Talk;T-Mobile;Total Wireless;TracFone;UScellular;Verizon;Virgin Mobile;Walmart Family Mobile,1,600,0,n/a
Character,A person or entity portrayed in print or visual media. A character might be a fictional personality or an actual living person.,Cell Phones,Batman;Dora the Explorer;Hello Kitty;Jojo Siwa;Minnie Mouse;Power Rangers;Wonder Woman;SpongeBob SquarePants;Mario;Pac-Man;Elsa;Spider-Man,1,50,0,n/a
